File,TAX,Receipt Number,MerchantName,Subtotal,Tip,Total,TransactionDateTime,Items
17386590297053997295044438274399 - Victor Lee.json,0105560101035,10344001022500156,"Brewing Happiness Co.,Ltd.",,,,04/02/2025 14:04:32,Iced Americano - Floral (1 x 55)
17386590966462230082736051626241 - Victor Lee.json,0105558102623,001-3 [006240],Tonkatsu Wako One Bangkok,,,494.34,02/04/2025 12:16,13:SUIREN (1 x 420)
17387186556135444632046881269223 - Victor Lee.json,0107536000633,,BIGC MARKET THE ONE BANGKOK,,,535,02/03/2025,แคนตาลูปซันเลดี้ (1 x 35); ชยาน้ำมะเขือเทศ (1 x 72); มาม่าคัพสไปซี่P3 (1 x 45); เมจิฮันนี110X4 (1 x 85); เมจินมปรุงแต่งรส (1 x 29); มันฝรั่งพริงเกิล (1 x 28); ทาบิข้าวอบกรอบ52 (1 x 30); ทาบิข้าวอบกรอบ52 (1 x 30); วาสลีนไนท์300มล (1 x 169); HPPเกลือป่นไอโอ (1 x 12)
17387375666977370569976893425821 - Victor Lee.json,0105561154302,00700001900,F.I.X. ONE BANGKOK,,,130,05/02/1968 13:38:18,Iced Latte M (1 x 130)
1738828911937654016708644032092 - Victor Lee.json,0105561110950,#250206024,Pradaday,,,317,06/02/2025 14:58,บั๊ดดี้ เดลี่ (1 x 269)
17388290984957689282649041447964 - Victor Lee.json,0105551096261,RCOBK1022568/000552,DEAN & DELUCA,,,110,06/02/2025 15:04,T H CAPPUCCINO (0.1 x 110)
1738902074708779141148581966324 - Victor Lee.json,0105567129741,INV/00002073,บริษัท คาเนโกะ ฮันโนะสึเกะ,,,388.41,07/02/2025 11:19,เซ็ตข้าวหน้ากุ้งเทมปุระมินิ พร้อมอุด้งร้อน (1 x 330)
17391657755742514674626984958435 - Victor Lee.json,,Q17,CHONGDEE TEAHOUSE,,,85,10/02/2025 12:36,เหลียงฉาเหลี่ยงจุ้ย (1 x 85)
1739165892913360950025615499298 - Victor Lee.json,0105566151981,F6JHWCQ4P1/00003883,บริษัท ยนไดเมะ คิคุคาวะ,,,682.66,10/02/2025 12:32,Lunch Set Half Eel Sushi Roll &amp; Tempura Udon (1 x 580); Ice Cream-Yuzu (1 x 120)
17391880158988094030991543271715 - Victor Lee.json,0105565082764(VAT,0100003156,Shake Shack,,,475,10/02/2025 18:44,1 Shack (230); 1 Chz Fries (155); 1 $ 50/50 (90)
17392432489851634215786690802620 - Victor Lee.json,0105546032501,N5RIB,A KEEN HOUSE,,,170,11/02/2025 10:06,Hot Americano (1 x 170)
17392556877285636938820239881652 - Victor Lee.json,0105563082708,ONERC022568/000679,SAEMAEUL SIKDANG,,,553.19,11/02/2025 13:33,Oolong Tea (1 x 60); ICE; Set A (Non-BBQ); Non-BBQ Side Dishes; Yetnal Dosirak (1 x 180); Cheese Gyeran Jjim (1 x 230)
1739424408521491063334583929598 - Victor Lee.json,0105557140408,RC1POB022568/000883,"Karnnarong Group Co.,Ltd.",,,165,13/02/2025 12:25,(TW)(P) ชาไทยรอยัล 25% (L ... (0.1 x 155)
17394244429964751398149928933402 - Victor Lee.json,0107566000453,MGR019P2220002532,บริษัท มากุโระ กรุ๊ป จำกัด (มหาชน),,,588.5,13/02/2025 11:53:58,Oceans Harmony Don (1 x 500)
17395037197623171553911853500074 - Victor Lee.json,,99,ONE TO TWO COFFEE COMPANY,,,60,14/02/2025 10:22,AMERICANO · ICED (1 x 60)
7eleven_Potch_01.json,0107542000011,R#0000079671P4,"CP ALL,7-Eleven ONE BANGKOK(19736)",,,65,23/01/2025 18:38,AS มัทฉะลาเต้เย็น (1 x 65)
AIS - Kitti B..json,0105548115897,1183241000000012,บริษัท แอดวานซ์ ไวร์เลส เน็ทเวอร์ค จำกัด (สาขาที่ 00515),,,710,25/10/2024,WHY FUJI-10 POWERBANK 10000 PD20W BK DP (1 x 663.55)
AIS_2 - Kitti B..json,0105548115897,1183241000000013,บริษัท แอดวานซ์ ไวร์เลส เน็ทเวอร์ค จำกัด (สาขาที่ 00515),,,710,25/10/2024,WHY FUJI-10 POWERBANK 10000 PD20W BK DP (1 x 663.55)
Amazon1 - Victor Lee.json,0107561000013,No.5070RC012568/002056,บมจ.ปตท. น้ำมันและการค้าปลีก,,,75,13/01/2025 11:04,TW อเมซอน เอ็กซ์ตร้า เย็น (1 x 75); TW ไม่หวาน 0%
Amazon2- Victor Lee.json,0107561000013,No.5069RC012568/003816,บมจ.ปตท. น้ำมันและการค้าปลีก,,,75,14/01/2025 08:59,TW อเมซอน เอ็กซ์ตร้า เย็น (1 x 75); TW ไม่หวาน 0%
Amazon_Thidarat Piajan_18.json,0107561000013,No.5070RC012568/003044,บมจ. ปตท. น้ำมันและการค้าปลีก,,,130,19/01/2025 17:06,TW แบล็คคอฟฟี่น้ำผึ้งมะนาว (1 x 75); TW แซนวิชทูน่าครีมชีส AMZ (1 x 55)
Anri_Potch_01.json,,,Anri Bakery,,,198,23/01/2025 17:39:04,Aomori Apple Pie (1 ชิ้น) (2 x 198)
A_Keen_House_Kanchaya.json,0105546032501,,A KEEN HOUSE,,,320,22/01/2025 18:56,Black Sesame Latte (2 x 320)
BCUC - Victor Lee.json,,03001252,Bluecoffee-one.bangkok,,,135,22/01/2025 11:24,Blue latte (1 x 135)
BHC Chicken_Saknoppon.json,0105566141560,BHC10RC012568/003470,BHC Chicken,,,955.19,30/01/2025 13:10,Retro; - (M) Retro Boneless (1 x 239); Macho King; - (M) Macho King Boneless (1 x 289); Pickled Radish (Free); Coleslaw (Free); Bburing Cheese Balls (1 x 199); Korean Steamed Rice (1 x 35); Lemon Iced Tea (Pitcher) (1 x 95); Glass + Ice
BHC- Victor Lee.json,0105566141560,BHC10RC012568/001849,BHC Chicken,,,656.77,15/01/2025 19:38,BHC American Fried Rice (1 x 249); Bburing Cheese Balls (1 x 199); Singha Beer (Bottle) (1 x 110); Singha Glass
Big Camera - Kitti B..json,0107537001404,S24349- 000002,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),,,3780,25/10/2024 13:08:23,ขาตั้ง NATIONAL (2 x 1890)
BigC Market_1 - Kitti B..json,0107536000633,,BIGC MARKET THE ONE BANGKOK,,,92,23/01/2025,1P อเมร้อน (45); 1A โฮลวีททูน่า _FF (47)
BigC Market_2 - Kitti B..json,0107536000633,,BIGC MARKET THE ONE BANGKOK,,,149,24/01/2025,1A#อะโวคาโดผลกก (149)
BigC Market_3 - Kitti B..json,0107536000633,11:21Rcpt#111006208,BIGC MARKET THE ONE BANGKOK,,,99,24/01/2025,อาหาร เช้า ไข่ คน (1 x 99)
BigC Market_4 - Kitti B..json,0107536000633,11:44Rcpt#107004471,BIGC MARKET THE ONE BANGKOK,,,,24/01/2025,1P อเมเยิน (1 x 50)
BigC Market_5 - Kitti B..json,0107536000633,,BIGC MARKET THE ONE BANGKOK,,,85,20/01/2025,อะโวคาโดพร้อมทาน (1 x 85)
BigC Market_6 - Kitti B..json,0107536000633,,BIGC HARKET THE ONE BANGKOK,,,69,16/01/2025,1A แร็ปไก่_FF (69)
BigC Market_7 - Kitti B..json,0107536000633,,BIGC MARKET THE ONE BANGKOK,,,147.25,22/01/2025,1A แร๊ปเคบับ_FF (73); 1A BIGCH20น้ำแร่1.5 (17); 1P อเมร้อน ล มลไซ (45); 1A เอธิ คั่วอ่อน (20); VA เอธิ คั่วอ่อน (-20); 1A เคนย่า คั่วกลาง (20)
BigC1 - Thanaphat.json,0107536000633,,HUSMARKET THE ONE BANGKOK,,,,18/01/2025,1A TFไม่น้ำตาล250มล (18)
BigC1- Victor Lee.json,0107536000633,,BCM ONE BANGKOK BANGKOK,,,22,14/01/2025,1A เมจิไพเกน (1 x 22)
BigC2 - Thanaphat.json,0107536000633,,BIGC MARKET THE ONE BANGKOK,,,49,16/01/2025,ข้าวสะโพกไก่อบซอ (1 x 49)
BigC2 - Victor Lee.json,0107536000633,,BIGÇ MARKET THE ONE BANGKOK,,,65,15/01/2025,1P อเมเย็น (50); 1P อเมริกาโน่ส้ม (65); VP อเมเย็น (-50); 1P อเมเย็น (35); VP อเมริกาโน่ส้ม (-65); 1P อเมริกาโน่ส้ม (30)
BigC3- Victor Lee.json,0107536000633,18:08Rcpt#108006595,BIGC MARKET THE ONE BANGKOK,,,112,20/01/2025,แคนตาลูปซันเลดี้ (1 x 45); แตงโมซอนญ่า (1 x 30); ฝรั่งกลมสาลี่ (1 x 36)
BigC_Market_1_Paisarn.json,0107536000833,,BIGC MARKET THE ONE BANGKOK,,,345,17/01/2025,ควินโช ตราย เรต (1 x 345)
BigC_Market_2_Paisarn.json,0107536000633,,BIGC MARKET THE ONE BANGKOK,,,90,21/01/2025,ข้าวราดกระเพราหมู (1 x 58); เกี๊ยวซ่า ไส้หมู (1 x 32)
BKKBagals_Viravan V..json,0105553150026,00500004084,BKKBagels One Bangkok,,,139,22/01/2025 10:32:42,*Pro 139 Baht (1 x 139); *Plain+; *Pro0 H Americano +; *B.Sea Salt +
BKKBagels - Victor Lee.json,0105553150026,00500004065,BKKBagels One Bangkok,,,120,21/01/2025 10:22:46,*B.Everything (7 x 60); *Garlic Dill (1 x 60)
BKKBagles - Kitti B..json,0105553150026,00500004019,BKKBagels One Bangkok,,,120,19/01/2025 15:06:33,*B.Cinnamon Raisin (1 x 60); *Plain (1 x 60)
